,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
288,Lorengau,0,PG,1554515140,99,-2.02,147.27,83.6,1.83
289,Palmas Bellas,20,PA,1554515294,83,9.23,-80.09,82.4,3.36
290,San Cristobal,75,EC,1554514324,93,-0.39,-78.55,57.2,8.05
291,Pemagatsel,0,BT,1554515377,67,27.03,91.43,67.31,1.28
292,Aripuana,0,BR,1554515377,92,-9.17,-60.63,77.03,2.39
293,Nea Karvali,12,GR,1554515284,65,40.96,24.51,52.0,5.99
294,Kosa,0,RU,1554515378,70,59.94,54.99,19.79,2.95
295,Koch Bihar,0,IN,1554515378,55,26.32,89.46,81.71,8.43
296,Cockburn Town,88,TC,1554515072,99,21.46,-71.14,78.11,20.07
297,Nybro,0,SE,1554515310,82,56.75,15.91,44.6,12.75
298,Longyearbyen,90,NO,1554511800,62,78.22,15.63,19.4,1.12
299,Vao,20,EE,1554515120,73,59.1,26.19,29.78,5.75
300,Ushumun,80,RU,1554515379,46,52.78,126.54,41.3,5.75
301,Zhigansk,44,RU,1554515217,70,66.77,123.37,32.57,5.19
302,Aswan,0,EG,1554515379,72,24.09,32.9,55.25,3.62
303,Burgos,12,ES,1554515216,93,42.34,-3.7,36.0,12.75
304,Cabo San Lucas,20,MX,1554514345,60,22.89,-109.91,78.8,14.99
305,Turukhansk,80,RU,1554515181,97,65.8,87.96,28.16,12.46
306,Bathsheba,75,BB,1554512400,83,13.22,-59.52,75.2,27.51
307,Bosaso,0,SO,1554515380,100,11.28,49.18,79.46,10.45
308,Ambatondrazaka,92,MG,1554515380,99,-17.82,48.43,66.86,2.17
309,Caravelas,0,BR,1554515145,97,-17.73,-39.27,82.43,14.47
310,Tambacounda,0,SN,1554515381,25,13.77,-13.67,82.07,10.78
311,Canutama,32,BR,1554515381,91,-6.53,-64.38,78.29,2.17
312,Kysyl-Syr,0,RU,1554514887,57,63.9,122.77,35.63,4.97
313,Lompoc,1,US,1554514924,77,34.64,-120.46,63.0,11.41
314,Olga,75,US,1554515372,55,34.11,-118.17,64.99,8.05
315,Muros,75,ES,1554515336,100,42.77,-9.06,50.0,4.7
316,Moses Lake,90,US,1554515358,66,47.13,-119.28,53.6,12.75
317,Lavrentiya,0,RU,1554515075,91,65.58,-170.99,23.03,5.3
318,Pestravka,92,RU,1554515383,97,52.4,49.95,42.29,9.66
319,Turiacu,8,BR,1554515383,87,-5.01,-63.0,80.0,5.97
320,Baoqing,88,CN,1554515383,43,46.32,132.2,46.16,8.88
321,Astoria,75,US,1554515316,71,46.19,-123.83,52.0,12.75
322,Norsup,76,VU,1554515384,100,-16.07,167.38,80.63,6.64
323,Kerema,56,PG,1554515138,81,-7.96,145.78,82.7,2.84
324,Juarez,0,AR,1554512400,71,-38.95,-67.92,57.2,4.74
325,Yulara,0,AU,1554512400,25,-25.24,130.99,84.2,12.75
326,Eyemouth,88,GB,1554515366,93,55.87,-2.09,41.0,5.82
327,Bafq,100,IR,1554515385,56,31.6,55.4,60.29,6.08
328,San Antonio,0,CL,1554512400,93,-33.58,-71.61,51.8,2.17
329,Fuyu,20,CN,1554515387,70,47.79,124.46,43.73,11.34
330,Oyama,20,JP,1554515318,23,36.31,139.8,75.0,2.24
331,Sorland,0,NO,1554515168,100,67.67,12.69,38.15,1.61
332,Canto do Buriti,92,BR,1554515387,97,-8.11,-42.94,70.1,2.95
333,Naryan-Mar,64,RU,1554515388,87,67.67,53.09,23.48,19.84
334,Walvis Bay,0,NA,1554512539,87,-22.95,14.51,59.0,12.75
335,Peachland,75,CA,1554512413,66,49.77,-119.75,55.4,6.93
336,Sale,64,GB,1554515284,70,53.42,-2.32,46.4,5.82
337,Melo,32,UY,1554515388,91,-32.37,-54.17,61.73,8.32
338,Kenai,40,US,1554515225,36,60.55,-151.26,44.6,19.46
339,Muisne,56,EC,1554515153,90,0.61,-80.02,73.52,4.07
340,Sao Sebastiao,44,BR,1554515389,81,-3.15,-58.36,80.45,5.19
341,Harlingen,75,US,1554515002,73,26.19,-97.7,80.6,6.93
342,Bayan,88,MN,1554515389,44,47.25,107.54,26.36,9.78
343,Lazaro Cardenas,75,MX,1554511320,15,28.39,-105.62,78.8,18.34
344,Kodinar,32,IN,1554515390,90,20.79,70.7,73.25,4.52
345,Omboue,24,GA,1554515178,100,-1.57,9.26,81.44,3.62
346,Ixtapa,90,MX,1554514810,83,20.71,-105.21,75.99,8.05
347,Nasirabad,0,IN,1554515390,69,26.3,74.74,72.98,4.63
348,Seevetal,56,DE,1554515290,93,53.4,10.02,45.0,3.36
349,Pevek,20,RU,1554515138,86,69.7,170.27,8.63,10.89
350,Ilulissat,0,GL,1554511800,46,69.22,-51.1,30.2,23.04
351,Biloela,0,AU,1554515391,43,-24.4,150.51,82.43,8.21
352,Bontang,24,ID,1554515391,96,0.12,117.47,82.43,3.85
353,Kurilsk,92,RU,1554515215,97,45.23,147.88,30.77,19.06
354,Tromso,0,NO,1554513600,85,69.65,18.96,10.4,6.93
355,Nome,90,US,1554515342,83,30.04,-94.42,73.99,3.36
356,Saint-Augustin,92,FR,1554514945,93,44.83,-0.61,50.0,8.05
357,Opuwo,0,NA,1554515392,66,-18.06,13.84,57.23,3.51
358,Masvingo,0,ZW,1554515392,83,-20.08,30.83,58.85,2.62
359,Aksu,90,KZ,1554512400,100,52.04,76.93,33.8,11.18
360,Elbrus,44,RU,1554515393,79,43.26,42.65,12.41,0.83
361,Zhongshu,44,CN,1554515393,53,24.52,103.77,69.92,10.0
362,Belmonte,92,PT,1554515309,85,40.36,-7.35,44.01,8.01
363,Batagay,44,RU,1554515394,72,67.65,134.64,31.31,4.18
364,Winnemucca,90,US,1554515249,57,40.97,-117.74,50.0,8.05
365,Geraldton,90,CA,1554513240,92,49.72,-86.95,35.6,2.24
366,Valdivia,0,CL,1554512400,93,-39.81,-73.25,44.6,4.18
367,Meulaboh,0,ID,1554514923,99,4.14,96.13,84.41,2.39
368,Yar-Sale,44,RU,1554515140,84,66.83,70.83,22.22,24.43
369,Qaqortoq,75,GL,1554511800,47,60.72,-46.03,37.4,29.97
370,Mitsamiouli,24,KM,1554515325,100,-11.38,43.28,81.71,3.51
371,Labe,8,NG,1554515399,78,7.7,8.47,81.08,11.45
372,Oudtshoorn,0,ZA,1554512400,87,-33.59,22.2,51.8,2.24
373,Ken Caryl,75,US,1554515387,21,39.58,-105.11,64.99,11.41
374,Vila,75,IT,1554515354,76,45.18,8.4,52.0,1.12
375,Hearst,64,CA,1554515400,88,49.69,-83.67,33.38,5.64
376,Dingle,24,PH,1554515400,63,11.0,122.67,87.38,9.66
377,Broken Hill,0,AU,1554512400,56,-31.97,141.45,69.8,12.75
378,Jabinyanah,0,TN,1554515401,88,35.03,10.91,49.31,9.89
379,Muzhi,24,RU,1554515401,77,65.4,64.7,23.12,13.47
380,San Quintin,0,PH,1554515401,78,17.54,120.52,83.96,3.51
381,Clacton-on-Sea,56,GB,1554515318,93,51.79,1.16,46.99,11.41
382,Sinnamary,92,GF,1554515402,93,5.38,-52.96,80.63,13.02
383,Beruwala,0,LK,1554515211,96,6.48,79.98,83.96,4.63
384,Emerald,0,AU,1554514999,51,-23.53,148.16,80.6,8.05
385,Erenhot,24,CN,1554515402,44,43.65,111.97,43.1,10.67
386,Alexandria,90,US,1554514532,88,31.31,-92.44,69.01,4.7
387,Diamantino,92,BR,1554515403,98,-14.4,-56.44,71.09,5.08
388,Chicama,0,PE,1554512400,83,-7.84,-79.15,69.8,6.93
389,Pinsk,36,BY,1554515403,66,52.11,26.1,38.15,13.02
390,Flagstaff,75,US,1554515157,37,35.2,-111.65,60.8,13.87
391,Kruisfontein,24,ZA,1554515107,85,-34.0,24.73,58.85,8.32
392,Codrington,40,AU,1554515310,54,-28.95,153.24,80.01,3.51
393,Ostrovnoy,0,RU,1554515200,84,68.05,39.51,20.78,18.5
394,Kiama,40,AU,1554515230,57,-34.67,150.86,82.0,8.05
395,San Isidro,0,PH,1554515119,70,16.74,121.63,85.94,1.83
396,Pitimbu,20,BR,1554512400,88,-7.47,-34.81,78.8,2.24
397,Aguimes,75,ES,1554515131,67,27.91,-15.45,62.6,16.11
398,The Valley,40,AI,1554515138,69,18.22,-63.06,78.8,12.75
399,Vardo,90,US,1554515143,100,39.62,-77.74,44.01,4.7
400,Crotone,12,IT,1554515405,97,39.09,17.12,58.58,6.2
401,Saskylakh,0,RU,1554515132,86,71.97,114.09,15.11,12.68
402,Botad,0,IN,1554515406,56,22.17,71.67,79.19,9.78
403,Yerbogachen,0,RU,1554515406,56,61.28,108.01,30.95,3.85
404,Rudarpur,32,IN,1554515406,59,26.64,83.25,81.8,13.8
405,Kabare,20,RW,1554515407,97,-1.65,29.38,55.43,2.62
406,Barretos,0,BR,1554515407,92,-20.55,-48.57,73.34,2.95
407,Itarema,80,BR,1554514963,100,-2.92,-39.92,73.97,3.4
408,Surab,0,PK,1554515408,35,28.49,66.26,63.08,5.86
409,Ridgecrest,75,US,1554514778,32,35.62,-117.67,66.2,18.34
410,Gravdal,8,NO,1554515388,57,59.79,5.78,50.0,8.05
411,Boshnyakovo,92,RU,1554515408,87,49.65,142.17,30.14,14.14
412,Angoche,8,MZ,1554515408,100,-16.23,39.91,80.54,4.29
413,Malaryta,0,BY,1554515409,63,51.79,24.08,41.93,14.81
414,Shitanjing,0,CN,1554515322,11,39.23,106.34,70.0,1.99
415,Severodvinsk,0,RU,1554512400,79,64.56,39.82,21.2,4.47
416,Beira,92,ES,1554515156,93,43.2,-8.36,48.99,6.93
417,Sainte-Maxime,0,FR,1554515393,87,43.31,6.64,53.6,3.36
418,Hanna,20,CA,1554515345,58,51.64,-111.93,46.99,13.0
419,Kutum,0,SD,1554515410,30,14.2,24.66,55.07,6.2
420,Waingapu,20,ID,1554515124,81,-9.65,120.26,84.05,6.98
421,Malanje,0,AO,1554515411,95,-9.54,16.35,64.43,2.39
422,Vallenar,0,CL,1554515411,75,-28.58,-70.76,51.2,2.95
423,Northam,40,GB,1554515407,93,51.04,-4.21,48.0,12.75
424,Laguna,5,MX,1554511260,18,27.52,-110.01,80.6,4.7
425,Manta,88,RO,1554515261,65,45.1,24.1,44.99,11.45
426,Dabhol,0,IN,1554515412,95,17.6,73.17,78.65,4.97
427,Kingston,90,CA,1554515310,100,44.23,-76.48,39.99,17.22
428,Maceio,40,BR,1554512400,88,-9.67,-35.74,77.0,3.36
429,Rovaniemi,40,FI,1554513600,86,66.5,25.72,28.4,5.82
430,Carhuamayo,12,PE,1554515413,97,-10.92,-76.06,32.75,1.61
431,Komyshuvakha,0,UA,1554515413,77,48.64,37.46,27.08,3.96
432,Pokrovsk,0,UA,1554515414,77,48.28,37.18,24.92,3.29
433,Riyadh,75,SA,1554512400,53,24.63,46.72,71.6,2.24
434,Troitsko-Pechorsk,8,RU,1554515414,78,62.71,56.19,23.93,2.62
435,Goma,20,CD,1554515415,97,-1.67,29.23,55.43,2.62
436,Dahegam,0,IN,1554512400,47,23.17,72.82,77.0,4.63
437,Constitucion,75,MX,1554511440,12,23.99,-104.67,69.8,20.8
438,Palu,36,ID,1554515416,63,-0.9,119.87,80.0,1.83
439,Payakumbuh,44,ID,1554515416,91,-0.23,100.63,79.01,2.17
440,Vilhena,76,BR,1554515416,98,-12.74,-60.15,69.29,4.41
441,Chitral,0,PK,1554515416,81,35.85,71.79,22.58,0.94
442,Betsiamites,40,CA,1554512400,74,48.94,-68.65,30.2,16.11
443,Floro,0,NO,1554515099,93,61.6,5.03,43.0,5.82
444,Tiznit,32,MA,1554515417,97,29.7,-9.73,54.71,9.89
445,Ust-Nera,8,RU,1554515417,78,64.57,143.24,28.61,2.62
446,Juba,0,EE,1554514816,64,57.82,26.93,36.0,2.24
447,Vacha,68,RU,1554515417,80,55.8,42.77,24.38,7.43
448,Masterton,92,NZ,1554514326,75,-40.95,175.66,53.01,8.01
449,Xichang,24,CN,1554515187,85,27.88,102.25,52.55,1.39
450,Luwuk,8,ID,1554515418,78,-0.95,122.79,86.66,2.06
451,Banat,0,SD,1554515418,48,14.75,33.41,56.6,3.62
452,Baykit,68,RU,1554515150,78,61.68,96.39,24.56,7.43
453,Bandarbeyla,0,SO,1554515418,100,9.49,50.81,78.38,2.39
454,North Platte,1,US,1554515190,48,41.12,-100.77,66.2,12.24
455,Santiago del Estero,0,AR,1554515270,79,-27.8,-64.26,54.17,2.95
456,Guiratinga,68,BR,1554515321,89,-16.35,-53.76,74.15,3.74
457,Katobu,0,ID,1554515419,81,-4.94,122.53,87.38,5.08
458,Clyde River,75,CA,1554512400,84,70.47,-68.59,-2.21,18.34
459,Gilgit,88,PK,1554515420,97,35.92,74.31,32.57,0.6
460,Annau,90,TM,1554512400,93,37.89,58.52,57.2,4.7
461,Quang Ngai,48,VN,1554515420,67,15.12,108.8,82.07,3.18
462,Venice,1,US,1554515164,88,27.1,-82.45,75.99,4.85
463,Conceicao do Araguaia,92,BR,1554515408,94,-8.26,-49.26,74.78,2.95
464,Basoko,48,CD,1554515421,97,1.23,23.61,71.0,8.21
465,Grindavik,0,IS,1554514618,69,63.84,-22.43,35.6,5.82
466,Pitanga,32,BR,1554515421,97,-24.76,-51.76,68.66,1.95
467,Mugur-Aksy,20,RU,1554515422,74,50.38,90.44,33.11,4.41
468,Rocha,68,UY,1554515422,76,-34.48,-54.34,59.75,5.41
469,Cidreira,92,BR,1554515071,92,-30.17,-50.22,68.03,8.21
470,Saldanha,92,PT,1554515036,97,41.42,-6.55,40.76,12.91
471,Lima,0,PE,1554514935,88,-12.06,-77.04,72.0,9.17
472,Kulhudhuffushi,68,MV,1554515423,100,6.62,73.07,84.14,4.74
473,La Palma,20,CO,1554515424,97,5.36,-74.39,67.13,1.61
474,Muhos,0,FI,1554515299,92,64.81,26.0,33.8,10.29
475,Iracoubo,76,GF,1554515425,75,5.48,-53.21,78.38,6.2
476,Imeni Poliny Osipenko,80,RU,1554515425,77,52.42,136.49,34.46,10.45
477,Gushikawa,1,JP,1554514947,73,26.35,127.87,77.0,1.83
478,Mangrol,0,IN,1554515425,53,25.33,76.51,78.02,4.63
479,Nchelenge,24,ZM,1554515426,99,-9.35,28.74,64.61,2.73
480,Menemen,75,TR,1554515228,81,38.6,27.08,57.2,2.24
481,Mahibadhoo,0,MV,1554515426,100,3.78,72.97,84.05,2.95
482,Sao Jose da Coroa Grande,100,BR,1554515179,86,-8.9,-35.15,79.46,4.74
483,Denizli,0,TR,1554511800,53,37.77,29.09,50.0,14.99
484,Prince Rupert,90,CA,1554513960,87,54.32,-130.32,46.4,11.41
485,Oswego,1,US,1554515173,77,37.17,-95.11,64.4,3.36
486,Champerico,75,MX,1554511620,42,16.38,-93.6,86.0,23.04
487,Wajid,0,SO,1554515427,80,3.81,43.25,72.98,12.24
488,Derzhavinsk,0,KZ,1554515136,93,51.1,66.31,34.91,7.43
489,Tiarei,40,PF,1554514943,62,-17.53,-149.33,89.6,10.29
490,Viedma,0,AR,1554515132,32,-40.81,-62.99,64.7,17.16
491,Rapid Valley,75,US,1554515183,55,44.06,-103.15,62.6,12.75
492,Quatre Cocos,75,MU,1554515341,83,-20.21,57.76,78.8,12.75
493,Galle,1,US,1554515421,69,29.74,-97.91,75.2,9.17
494,Kondinskoye,24,RU,1554515428,85,59.65,67.41,31.31,6.76
495,Kamaishi,75,JP,1554512400,75,39.28,141.86,44.6,6.93
496,Port Huron,75,US,1554515174,75,42.98,-82.44,48.99,6.31
497,Codo,68,ID,1554515429,97,-8.13,112.72,80.81,4.18
498,Magdagachi,92,RU,1554515429,55,53.45,125.8,37.7,4.74
499,Nishihara,20,JP,1554515403,25,35.74,139.53,73.0,8.05
500,Lamu,24,ID,1554515429,81,0.57,122.3,84.68,0.72
501,Rio Gallegos,90,AR,1554512400,76,-51.62,-69.22,48.2,33.33
502,Ulaanbaatar,40,MN,1554514200,38,47.92,106.92,26.6,2.24
503,Vitim,20,RU,1554515430,73,59.44,112.57,29.69,3.96
504,Almaty,90,KZ,1554512400,93,43.24,76.95,50.0,4.47
505,Waipawa,92,NZ,1554515177,74,-39.94,176.59,54.0,4.0
506,Najran,40,SA,1554512400,88,17.54,44.22,66.2,2.73
507,Sobolevo,0,RU,1554515191,70,54.43,31.9,23.66,2.84
508,Shingu,20,JP,1554512400,45,33.72,135.99,66.2,16.11
509,Port Augusta,90,AU,1554514853,64,-32.49,137.76,71.01,9.17
510,Hovd,0,NO,1554515402,59,63.83,10.7,37.4,17.22
511,Mehamn,0,NO,1554515124,70,71.03,27.85,18.17,7.43
512,Joaima,0,BR,1554515431,83,-16.65,-41.03,73.16,6.98
513,Sitka,88,US,1554514330,55,37.17,-99.65,66.99,8.01
514,Estacion Coahuila,75,MX,1554515405,31,32.19,-115.0,77.0,8.05
515,Somerset East,76,ZA,1554515432,93,-32.72,25.59,53.9,4.74
516,Huoqiu,0,CN,1554515432,58,32.34,116.27,77.03,13.24
517,Dawlatabad,0,AF,1554515432,88,36.41,64.91,59.75,7.2
518,Champasak,40,LA,1554512400,69,14.89,105.88,82.4,9.17
519,Teguldet,0,RU,1554515433,54,57.31,88.17,38.69,3.18
520,Jega,8,NG,1554515433,68,12.22,4.38,73.7,2.95
521,Valparaiso,75,US,1554515377,87,41.47,-87.06,53.6,3.36
522,Ayan,0,TR,1554515433,73,40.67,33.6,27.89,1.95
523,Luanda,75,AO,1554512400,88,-8.83,13.24,78.8,2.24
524,Watertown,90,US,1554515272,87,44.9,-97.12,55.0,10.29
525,Kendari,24,ID,1554515434,91,-3.99,122.52,85.58,3.96
526,Huarmey,0,PE,1554514874,93,-10.07,-78.15,62.36,3.18
527,Kem,0,UG,1554515435,61,2.68,33.77,71.18,11.23
528,Moron,68,VE,1554515169,91,10.49,-68.2,64.61,2.73
529,Roald,64,NO,1554515107,93,62.58,6.12,41.0,6.93
530,Marzuq,8,YE,1554515120,87,14.4,46.47,53.54,2.39
531,Ocampo,64,PH,1554515436,84,13.56,123.37,82.16,5.86
532,Lincoln,64,GB,1554515222,100,53.23,-0.54,43.0,6.93
533,Mayor Pablo Lagerenza,76,PY,1554515195,70,-19.93,-60.77,63.8,17.38
534,Imbituba,75,BR,1554512400,78,-28.24,-48.67,71.6,10.29
535,Christchurch,68,NZ,1554515403,87,-43.53,172.64,57.99,12.75
536,Kaputa,44,ZM,1554515437,95,-8.47,29.66,63.53,2.17
537,Balasheyka,92,RU,1554515438,98,53.28,48.09,34.28,8.21
538,Ituacu,44,BR,1554515438,94,-13.81,-41.3,65.51,2.95
539,High Prairie,76,CA,1554515438,73,55.43,-116.48,39.5,7.65
540,Kindu,88,CD,1554515438,100,-2.95,25.92,70.73,2.73
541,Hualmay,32,PE,1554515152,97,-11.1,-77.61,64.43,3.62
542,Broome,48,GB,1554515426,93,52.47,1.45,45.0,4.7
543,Sibolga,48,ID,1554515439,91,1.74,98.78,77.3,1.39
544,Ivdel,76,RU,1554515439,83,60.7,60.42,29.42,7.99
545,Plettenberg Bay,0,ZA,1554515173,100,-34.05,23.37,61.1,11.79
546,Houma,0,CN,1554515439,29,35.63,111.36,74.6,3.62
547,Saint Anthony,40,US,1554515251,75,43.97,-111.68,48.2,13.87
548,Xai-Xai,88,MZ,1554515440,100,-25.04,33.64,76.4,8.66
549,Baruun-Urt,0,MN,1554515440,30,46.68,113.28,30.86,11.01
550,Flin Flon,32,CA,1554515098,66,54.77,-101.88,23.21,2.95
551,Velke Mezirici,92,CZ,1554515404,71,49.36,16.01,53.01,6.93
552,Muroto,0,JP,1554512400,45,33.37,134.14,64.4,8.05
553,Oksfjord,0,NO,1554513600,63,70.24,22.35,28.4,13.87
554,San Carlos de Bariloche,0,AR,1554512400,56,-41.13,-71.31,57.2,21.92
555,Waddan,0,LY,1554515123,90,29.16,16.14,61.01,10.78
556,Chumikan,88,RU,1554515223,88,54.72,135.31,32.75,7.54
557,Inhambane,88,MZ,1554515442,100,-23.87,35.38,72.53,3.62
558,Bogo,0,CM,1554515442,63,10.74,14.61,70.73,2.73
559,Obama,0,JP,1554515025,49,35.49,135.74,63.0,8.01
560,Beyneu,0,KZ,1554515442,83,45.32,55.19,41.39,5.3
561,Ust-Koksa,88,RU,1554515443,82,50.27,85.62,35.09,2.39
562,Ishigaki,75,JP,1554512400,73,24.34,124.16,73.4,10.29
563,Astolfo Dutra,80,BR,1554515443,92,-21.31,-42.86,71.99,3.85
564,Shizunai,76,JP,1554515443,88,42.33,142.37,38.51,13.02
565,Zhangye,8,CN,1554515173,75,38.94,100.46,53.81,4.18
566,Yuzhno-Kurilsk,68,RU,1554515444,91,44.03,145.86,35.18,27.0
567,San Lorenzo,75,PY,1554512400,77,-25.34,-57.51,64.4,17.22
568,Ancud,90,CL,1554512400,87,-41.87,-73.83,50.0,2.24
569,Escanaba,90,US,1554515396,86,45.75,-87.06,37.4,8.99
570,Luganville,80,VU,1554515446,100,-15.51,167.18,82.52,5.75
571,Soto la Marina,92,MX,1554515446,62,23.77,-98.21,78.83,10.67
572,Carutapera,92,BR,1554515447,99,-1.2,-46.02,76.04,7.43
573,Santiago de Cao,0,PE,1554512400,83,-7.96,-79.24,69.8,6.93
574,Noshiro,75,JP,1554512400,70,40.21,140.05,44.6,14.99
575,Moindou,40,NC,1554514200,39,-21.69,165.68,84.2,8.05
576,Atasu,80,KZ,1554515242,100,48.68,71.64,41.03,8.21
577,College,1,US,1554515102,32,64.86,-147.8,44.6,14.99
